edad,pais_origen,ciudad_ecuador,tipo_viaje,fecha_viaje,transporte,hospedaje,personas_viaje,dias_estancia,pasajes,costot_comida,gastos_extras,satisfaccion
69,Samoa,Loja,Aventura,2026-02-23,Avión,Resort,1,7,858,238,25,2
67,Isle of Man,Baños,Aventura,2025-08-22,Bus,Airbnb,5,15,140,975,209,7
55,Mauritius,Loja,Negocios,2025-12-15,Avión,Airbnb,6,3,1121,576,255,5
62,Lesotho,Otavalo,Vacaciones,2026-05-09,Ciclista,Hostal,1,9,1165,297,74,1
56,Nigeria,Quito,Negocios,2026-03-23,Ciclista,Airbnb,2,5,1129,260,99,7
18,Djibouti,Cuenca,Vacaciones,2025-10-24,Bus,Casa huespedes,2,3,159,216,226,9
57,Cayman Islands,Otavalo,Estudio,2025-12-04,Ciclista,Resort,3,8,956,672,198,10
20,Puerto Rico,Guayaquil,Vacaciones,2025-10-28,Motociclista,Resort,1,15,885,390,135,3
29,Heard Island and McDonald Islands,Otavalo,Estudio,2025-06-03,Avión,Airbnb,4,3,638,312,295,9
31,India,Cuenca,Visita Familia,2026-02-27,Motociclista,Airbnb,1,4,186,100,242,2
21,Tanzania,Guayaquil,Vacaciones,2026-03-30,Motociclista,Hotel,2,15,1171,420,150,10
22,Antigua and Barbuda,Quito,Visita Familia,2025-06-26,Avión,Hostal,5,2,610,230,150,2
19,Samoa,Manta,Negocios,2025-11-03,Avión,Resort,2,12,733,288,152,9
49,Egypt,Riobamba,Vacaciones,2025-11-14,Avión,Hostal,6,12,149,2376,126,10
43,Jamaica,Guayaquil,Visita Familia,2026-04-13,Avión,Airbnb,6,10,550,1860,111,1
24,Bahamas,Loja,Negocios,2026-03-21,Motociclista,Hostal,1,3,1175,117,113,2
59,Serbia,Cuenca,Estudio,2025-12-13,Auto,Casa huespedes,6,10,675,1980,89,4
27,United States Minor Outlying Islands,Riobamba,Estudio,2026-04-09,Motociclista,Casa huespedes,2,2,587,92,82,1
30,Cuba,Guayaquil,Estudio,2025-10-05,Bus,Casa huespedes,6,13,716,2886,78,10
64,Aruba,Pastaza,Aventura,2025-08-09,Avión,Hotel,6,11,318,2178,57,1
40,Croatia,Riobamba,Negocios,2025-05-25,Motociclista,Resort,3,9,579,594,196,7
51,Gambia,Cuenca,Aventura,2025-06-25,Bus,Airbnb,4,10,692,1480,179,5
47,Jamaica,Otavalo,Visita Familia,2025-11-20,Motociclista,Airbnb,4,6,798,720,120,1
31,Israel,Zamora,Visita Familia,2026-03-10,Bus,Hotel,5,2,771,370,92,4
47,Macao,Quito,Estudio,2026-01-20,Avión,Casa huespedes,6,5,478,1170,298,6
27,Vietnam,Baños,Negocios,2025-10-10,Motociclista,Resort,3,1,744,102,96,2
33,Nepal,Quito,Visita Familia,2025-07-04,Motociclista,Resort,4,8,466,640,71,2
66,India,Guayaquil,Negocios,2025-12-22,Motociclista,Hostal,5,9,214,585,101,4
44,Israel,Cuenca,Vacaciones,2025-08-13,Auto,Hostal,2,2,989,116,214,5
49,China,Riobamba,Vacaciones,2026-03-31,Ciclista,Airbnb,4,2,291,224,116,7
52,Norfolk Island,Zamora,Negocios,2025-06-09,Auto,Hotel,6,8,551,1728,293,6
49,Bosnia and Herzegovina,Guayaquil,Estudio,2025-08-11,Bus,Hostal,6,8,1086,1488,217,4
37,Aruba,Manta,Negocios,2025-07-02,Motociclista,Hotel,4,10,120,1000,154,6
23,Mauritania,Riobamba,Visita Familia,2025-10-01,Ciclista,Resort,5,12,1111,1200,234,8
20,Peru,Guayaquil,Estudio,2025-12-08,Avión,Hotel,2,8,530,272,204,6
37,Uganda,Otavalo,Estudio,2026-04-29,Avión,Casa huespedes,4,8,323,896,203,1
55,Lithuania,Guayaquil,Vacaciones,2025-08-30,Avión,Hostal,4,7,796,560,152,4
41,Vanuatu,Zamora,Aventura,2025-11-25,Motociclista,Hotel,6,10,658,1920,150,8
51,Bosnia and Herzegovina,Otavalo,Aventura,2026-01-24,Motociclista,Airbnb,5,8,531,1520,118,10
53,Bulgaria,Quito,Vacaciones,2026-04-01,Ciclista,Hostal,6,3,758,504,73,3
52,Aruba,Quito,Aventura,2025-09-19,Ciclista,Airbnb,6,12,476,1296,264,5
18,Mauritius,Baños,Visita Familia,2026-03-25,Motociclista,Resort,4,4,428,320,253,10
23,Afghanistan,Guayaquil,Visita Familia,2026-03-24,Motociclista,Airbnb,1,9,724,225,239,4
62,Luxembourg,Riobamba,Aventura,2025-09-01,Avión,Airbnb,1,2,1051,60,42,1
53,Peru,Pastaza,Negocios,2025-08-31,Avión,Casa huespedes,1,6,520,216,58,8
40,Azerbaijan,Zamora,Aventura,2025-11-28,Bus,Casa huespedes,6,12,1087,2880,208,8
42,Guadeloupe,Loja,Aventura,2026-04-04,Auto,Hostal,5,2,712,160,226,7
60,Burkina Faso,Zamora,Vacaciones,2025-07-28,Bus,Hostal,2,3,240,102,78,1
28,Luxembourg,Loja,Negocios,2025-12-29,Motociclista,Casa huespedes,4,10,483,960,53,7
43,French Guiana,Cuenca,Visita Familia,2026-03-23,Bus,Resort,4,11,1183,1188,210,4
52,Japan,Otavalo,Negocios,2025-06-20,Auto,Hostal,4,10,785,440,102,6
63,Venezuela,Baños,Estudio,2025-09-15,Avión,Resort,1,3,365,48,276,2
58,Sudan,Zamora,Vacaciones,2026-03-01,Avión,Airbnb,4,7,120,588,101,8
24,Palestinian Territory,Pastaza,Aventura,2026-02-09,Auto,Resort,1,5,651,100,28,8
49,Cayman Islands,Cuenca,Negocios,2025-09-29,Bus,Casa huespedes,5,13,777,1235,260,5
34,French Southern Territories,Otavalo,Estudio,2025-08-16,Avión,Airbnb,4,10,464,1360,79,1
23,Barbados,Zamora,Estudio,2026-02-04,Bus,Hotel,2,8,824,448,99,10
51,Malta,Otavalo,Vacaciones,2025-06-20,Motociclista,Casa huespedes,6,11,1170,792,86,7
43,Turkmenistan,Loja,Aventura,2025-11-13,Motociclista,Hostal,4,2,225,96,30,2
58,United Kingdom,Quito,Negocios,2026-01-05,Bus,Hotel,3,14,591,1344,143,4
29,Lesotho,Cuenca,Visita Familia,2025-08-10,Auto,Airbnb,5,6,822,1050,47,8
45,Italy,Guayaquil,Vacaciones,2026-05-03,Bus,Hotel,6,7,117,798,201,7
28,Portugal,Loja,Negocios,2026-04-20,Bus,Hostal,4,10,409,680,112,4
29,Germany,Guayaquil,Visita Familia,2025-10-17,Auto,Casa huespedes,2,2,647,40,49,8
68,Serbia,Loja,Negocios,2026-04-25,Auto,Hotel,5,5,284,775,290,3
68,Mauritania,Zamora,Estudio,2025-11-22,Motociclista,Hotel,4,11,759,660,258,3
33,Cuba,Baños,Visita Familia,2025-09-16,Ciclista,Hotel,1,8,1124,136,286,1
66,Afghanistan,Guayaquil,Visita Familia,2026-05-05,Ciclista,Resort,4,6,628,408,231,8
47,Wallis and Futuna,Loja,Visita Familia,2026-04-23,Auto,Casa huespedes,1,15,1159,270,179,4
48,Monaco,Manta,Estudio,2025-11-22,Avión,Hotel,5,12,921,1680,223,6
21,Vanuatu,Manta,Estudio,2026-02-18,Bus,Resort,6,7,754,1470,214,8
47,New Caledonia,Pastaza,Vacaciones,2025-11-27,Ciclista,Hostal,3,12,1156,756,134,9
59,Lithuania,Baños,Visita Familia,2025-06-11,Motociclista,Resort,5,2,650,190,21,4
33,Croatia,Loja,Estudio,2025-10-17,Motociclista,Hostal,2,8,1100,384,110,3
34,Eritrea,Cuenca,Aventura,2025-08-31,Ciclista,Casa huespedes,1,12,282,120,228,6
33,Ghana,Manta,Estudio,2025-07-11,Avión,Resort,6,3,439,288,179,3
26,Cayman Islands,Riobamba,Aventura,2025-07-04,Motociclista,Airbnb,4,8,514,640,289,2
56,Christmas Island,Zamora,Estudio,2025-07-23,Auto,Resort,4,4,797,160,141,4
56,Syrian Arab Republic,Manta,Negocios,2026-03-22,Bus,Hotel,3,13,787,1170,279,3
45,Taiwan,Otavalo,Visita Familia,2026-02-07,Motociclista,Casa huespedes,4,13,580,1404,267,9
18,Haiti,Quito,Negocios,2026-05-22,Avión,Hostal,5,3,1142,510,94,4
22,Saint Barthelemy,Pastaza,Aventura,2025-11-22,Avión,Resort,3,3,978,351,298,10
57,Lithuania,Baños,Negocios,2026-03-10,Ciclista,Airbnb,4,11,548,440,55,6
28,Mali,Cuenca,Vacaciones,2025-06-10,Bus,Hotel,2,7,523,546,75,5
70,Saint Pierre and Miquelon,Quito,Aventura,2025-09-05,Bus,Airbnb,6,5,406,1200,250,5
18,Bhutan,Otavalo,Estudio,2026-05-09,Ciclista,Hostal,3,10,766,450,185,6
37,Greece,Riobamba,Negocios,2025-10-04,Auto,Casa huespedes,1,8,111,232,221,6
54,Turks and Caicos Islands,Quito,Visita Familia,2026-01-16,Motociclista,Casa huespedes,5,3,611,420,249,3
47,Korea,Riobamba,Vacaciones,2025-09-12,Bus,Hotel,1,14,253,140,209,1
57,Saint Pierre and Miquelon,Baños,Visita Familia,2025-06-05,Motociclista,Airbnb,3,11,1080,1023,28,1
62,United States Minor Outlying Islands,Guayaquil,Estudio,2025-10-15,Bus,Airbnb,6,2,304,240,189,8
36,Japan,Riobamba,Estudio,2025-10-10,Motociclista,Hostal,3,6,970,702,114,6
46,Bouvet Island (Bouvetoya),Zamora,Vacaciones,2025-10-02,Bus,Airbnb,6,11,685,2508,90,2
30,China,Guayaquil,Estudio,2026-03-14,Avión,Hostal,3,5,727,285,268,10
22,French Southern Territories,Otavalo,Aventura,2026-04-23,Auto,Hotel,2,8,880,224,300,7
60,Zimbabwe,Guayaquil,Estudio,2025-11-20,Avión,Casa huespedes,5,13,623,1885,95,2
46,Cuba,Loja,Estudio,2025-09-12,Motociclista,Casa huespedes,4,1,520,56,70,8
49,Honduras,Zamora,Vacaciones,2025-11-25,Avión,Resort,1,11,607,385,114,6
69,Luxembourg,Guayaquil,Estudio,2025-10-22,Ciclista,Casa huespedes,6,1,689,180,256,6
70,Hong Kong,Zamora,Visita Familia,2025-06-12,Avión,Casa huespedes,5,14,1003,1470,119,2
19,Eritrea,Guayaquil,Vacaciones,2025-10-21,Motociclista,Airbnb,5,11,668,1870,105,6
21,Saint Lucia,Guayaquil,Negocios,2025-08-08,Bus,Airbnb,1,14,1070,196,231,6
57,Aruba,Pastaza,Estudio,2025-08-29,Auto,Resort,4,3,1071,156,28,10
51,Nepal,Guayaquil,Negocios,2025-07-14,Avión,Casa huespedes,3,5,963,315,108,6
18,Jordan,Otavalo,Negocios,2026-03-22,Avión,Airbnb,5,7,330,1330,156,8
39,Sri Lanka,Pastaza,Vacaciones,2025-10-06,Bus,Airbnb,6,13,1158,2808,26,8
51,Romania,Riobamba,Aventura,2026-02-27,Ciclista,Hostal,2,8,321,448,172,5
51,Luxembourg,Baños,Visita Familia,2025-09-15,Avión,Airbnb,5,3,1155,585,181,8
54,Nauru,Otavalo,Negocios,2026-05-14,Motociclista,Casa huespedes,3,11,830,990,61,8
42,Ireland,Pastaza,Negocios,2025-12-12,Bus,Resort,1,13,840,429,203,9
59,Bouvet Island (Bouvetoya),Cuenca,Vacaciones,2026-01-29,Auto,Airbnb,1,14,802,182,282,4
63,Macao,Manta,Vacaciones,2025-10-06,Ciclista,Hostal,2,13,182,936,137,7
30,Svalbard & Jan Mayen Islands,Baños,Negocios,2025-08-12,Auto,Casa huespedes,5,14,716,2520,62,8
28,United States Virgin Islands,Guayaquil,Visita Familia,2025-12-11,Bus,Casa huespedes,1,10,148,360,208,7
48,Netherlands,Zamora,Negocios,2025-05-23,Bus,Hotel,1,9,1059,99,97,2
62,Cook Islands,Quito,Vacaciones,2025-12-28,Avión,Hotel,2,15,1190,660,294,9
66,Equatorial Guinea,Baños,Aventura,2025-10-16,Avión,Casa huespedes,3,15,626,1620,104,8
39,Antarctica (the territory South of 60 deg S),Zamora,Estudio,2026-03-27,Auto,Hotel,1,1,791,14,243,3
60,Canada,Riobamba,Aventura,2026-03-23,Ciclista,Hotel,4,10,943,960,286,8
23,Wallis and Futuna,Pastaza,Negocios,2026-01-24,Ciclista,Airbnb,6,13,1128,2028,23,3
64,Suriname,Zamora,Estudio,2025-08-11,Bus,Hostal,6,5,543,1020,235,7
38,Qatar,Quito,Estudio,2026-02-01,Ciclista,Resort,1,12,1066,372,45,2
33,Tajikistan,Quito,Negocios,2026-05-03,Motociclista,Hostal,4,8,976,1280,226,4
41,Niue,Pastaza,Estudio,2025-09-04,Motociclista,Hotel,4,5,611,760,171,8
39,Nicaragua,Guayaquil,Vacaciones,2026-01-24,Ciclista,Casa huespedes,3,13,1128,702,26,2
19,Malawi,Pastaza,Visita Familia,2026-01-29,Auto,Casa huespedes,6,4,980,336,34,9
49,Jordan,Pastaza,Estudio,2025-08-15,Ciclista,Airbnb,3,10,706,870,96,8
63,Romania,Zamora,Vacaciones,2025-10-30,Motociclista,Hotel,2,8,424,368,161,1
57,Ghana,Loja,Negocios,2025-12-22,Ciclista,Hostal,6,15,756,2970,231,7
64,Bangladesh,Riobamba,Visita Familia,2026-05-07,Avión,Hotel,6,15,840,3330,239,8
33,Maldives,Cuenca,Estudio,2026-02-19,Motociclista,Casa huespedes,1,4,914,132,38,9
53,Liechtenstein,Riobamba,Aventura,2025-08-13,Auto,Hotel,5,5,809,275,267,2
61,Saint Kitts and Nevis,Cuenca,Negocios,2025-08-09,Auto,Hotel,3,8,615,648,229,8
51,Tokelau,Riobamba,Visita Familia,2025-11-07,Auto,Resort,2,8,290,352,188,1
45,Mozambique,Quito,Visita Familia,2025-06-06,Avión,Airbnb,1,2,1088,54,94,6
33,Mozambique,Manta,Aventura,2026-02-01,Avión,Casa huespedes,2,11,555,550,222,8
45,Cuba,Riobamba,Aventura,2025-09-11,Bus,Hostal,5,9,955,1440,48,3
55,Antigua and Barbuda,Zamora,Aventura,2025-10-11,Auto,Hostal,2,14,843,700,285,5
69,Guam,Loja,Negocios,2025-07-07,Bus,Casa huespedes,2,1,444,20,176,6
58,Sao Tome and Principe,Manta,Aventura,2025-09-08,Motociclista,Airbnb,6,4,692,408,95,6
24,Singapore,Manta,Vacaciones,2026-02-20,Ciclista,Hotel,4,5,702,640,199,7
40,Uzbekistan,Riobamba,Visita Familia,2025-09-14,Bus,Casa huespedes,6,5,1128,810,174,2
62,Paraguay,Riobamba,Vacaciones,2025-06-11,Ciclista,Casa huespedes,6,3,974,666,296,6
48,Guinea-Bissau,Otavalo,Negocios,2025-10-04,Motociclista,Resort,5,10,794,1300,89,4
18,Ireland,Otavalo,Aventura,2026-04-02,Auto,Resort,5,9,475,1665,145,1
70,Dominica,Quito,Aventura,2026-05-08,Avión,Hostal,5,2,801,130,55,9
45,Estonia,Manta,Aventura,2026-02-22,Ciclista,Resort,4,2,734,296,290,8
26,Saint Vincent and the Grenadines,Pastaza,Vacaciones,2025-06-24,Ciclista,Casa huespedes,6,6,1160,1368,237,5
59,Anguilla,Manta,Negocios,2025-06-14,Motociclista,Resort,6,10,855,1020,150,7
40,Grenada,Baños,Visita Familia,2026-04-24,Avión,Airbnb,5,4,957,800,167,7
66,Greenland,Baños,Negocios,2025-12-31,Avión,Hostal,4,2,1119,248,85,5
38,Zambia,Otavalo,Negocios,2025-07-24,Bus,Airbnb,4,13,286,1352,149,9
43,Ireland,Cuenca,Estudio,2026-03-15,Bus,Airbnb,2,2,768,156,293,8
69,United Arab Emirates,Zamora,Estudio,2026-01-17,Motociclista,Airbnb,3,2,871,84,28,10
22,Mauritania,Manta,Vacaciones,2025-06-14,Motociclista,Hotel,4,3,390,348,273,9
46,Oman,Riobamba,Estudio,2025-10-22,Bus,Hostal,5,7,291,1015,26,9
19,Somalia,Pastaza,Visita Familia,2026-02-10,Avión,Casa huespedes,1,3,1187,96,253,8
64,Mauritius,Otavalo,Visita Familia,2025-10-24,Auto,Hotel,6,15,1008,2970,121,7
45,Montserrat,Guayaquil,Visita Familia,2025-06-13,Motociclista,Hostal,6,4,804,408,205,7
50,Kuwait,Guayaquil,Negocios,2026-02-22,Motociclista,Hostal,5,6,1024,720,75,1
40,Taiwan,Cuenca,Vacaciones,2026-02-28,Bus,Casa huespedes,6,2,1095,324,116,2
45,Colombia,Otavalo,Estudio,2026-01-10,Bus,Resort,6,9,519,1728,49,6
59,Guinea,Pastaza,Negocios,2026-04-23,Avión,Resort,5,12,600,900,171,7
61,Sierra Leone,Riobamba,Estudio,2025-09-08,Auto,Resort,4,4,242,224,107,7
22,Tokelau,Pastaza,Negocios,2025-11-21,Bus,Airbnb,3,13,246,1521,116,6
52,Mexico,Riobamba,Estudio,2025-12-06,Motociclista,Hostal,5,10,1019,700,30,8
69,Kenya,Guayaquil,Estudio,2025-07-15,Bus,Hostal,2,4,432,96,90,8
48,Uganda,Quito,Vacaciones,2026-02-22,Ciclista,Hostal,1,10,260,300,212,3
43,Central African Republic,Cuenca,Visita Familia,2025-11-28,Bus,Hostal,1,3,863,96,247,6
33,Latvia,Pastaza,Vacaciones,2025-10-05,Motociclista,Airbnb,6,5,837,840,204,3
68,Serbia,Cuenca,Vacaciones,2026-01-14,Auto,Hostal,1,8,900,96,51,2
56,Guam,Otavalo,Aventura,2025-08-25,Avión,Resort,3,11,262,957,136,7
38,Ecuador,Baños,Negocios,2026-05-23,Avión,Casa huespedes,3,5,845,435,214,9
66,Kuwait,Manta,Visita Familia,2025-07-03,Ciclista,Resort,5,15,247,2775,114,6
45,Anguilla,Baños,Estudio,2026-04-11,Avión,Hotel,5,2,460,330,213,10
52,Poland,Otavalo,Visita Familia,2025-12-23,Avión,Casa huespedes,4,5,973,700,84,9
38,Palau,Baños,Vacaciones,2025-12-27,Ciclista,Resort,4,14,575,2184,255,2
34,Sudan,Guayaquil,Estudio,2026-03-22,Motociclista,Resort,1,2,703,62,259,5
50,Micronesia,Quito,Aventura,2026-03-10,Motociclista,Resort,5,2,856,170,172,8
22,United States Minor Outlying Islands,Cuenca,Negocios,2025-06-09,Avión,Hotel,6,4,1050,456,245,10
27,Antigua and Barbuda,Otavalo,Negocios,2025-06-30,Avión,Hotel,4,13,367,1248,177,6
27,Guyana,Otavalo,Aventura,2025-11-05,Auto,Hostal,4,6,185,624,267,7
